state,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total,state_code
Alabama,1.1119512195121952,0.19195121951219513,0.6117073170731708,1.914878048780488,263.57362240289075,38.092645112497635,127.0049255237078,408.5073170731707,1
Alaska,1.3775609756097562,0.46780487804878046,1.2065853658536585,3.0531707317073167,326.53297199638666,92.83569672906032,250.5156963978399,651.3430894308943,2
Arizona,1.458780487804878,0.3729268292682927,0.8182926829268292,2.6509756097560975,345.78500451671187,74.00718472301001,169.89693984531087,565.5414634146341,4
Arkansas,1.0373170731707317,0.14195121951219514,0.5751219512195123,1.7560975609756098,245.88256549232162,28.170164492342597,119.40893715506498,374.6341463414634,5
California,1.1629268292682926,0.5856097560975609,0.8214634146341463,2.569512195121951,275.65672990063234,116.21402911703535,170.5552588372599,548.1626016260163,6
Colorado,1.3604878048780489,0.42975609756097566,1.007560975609756,2.7980487804878047,322.4859981933153,85.28493098884476,209.19351967242304,596.9170731707318,8
Connecticut,0.9765853658536585,0.5068292682926829,0.9353658536585366,2.419512195121951,231.48690153568202,100.5800718472301,194.20410262496787,516.1626016260163,9
Delaware,1.3814634146341465,0.484390243902439,1.2621951219512195,3.1265853658536584,327.45799457994576,96.12705615428247,262.061598718177,667.0048780487805,10
District Of Columbia,1.3665853658536586,0.9107317073170732,1.9102439024390243,4.188292682926829,323.9313459801265,180.73435432028737,396.61187268807,893.5024390243902,
Florida,1.3429268292682928,0.41707317073170724,1.0065853658536585,2.7663414634146344,318.323396567299,82.7680090754396,208.99095998259256,590.1528455284553,12
Georgia,1.1451219512195123,0.2351219512195122,0.8095121951219512,2.1909756097560975,271.43631436314365,46.65986008697296,168.0739026368366,467.40813008130084,13
Hawaii,1.4353658536585365,0.44365853658536586,0.7926829268292683,2.6712195121951217,340.2348690153569,88.04386462469276,164.5797479872609,569.860162601626,15
Idaho,1.2102439024390244,0.5714634146341463,0.6575609756097561,2.44,286.8726287262873,113.4066931366988,136.52523094574013,520.5333333333334,16
Illinois,1.2963414634146342,0.3641463414634146,0.823170731707317,2.4851219512195124,307.2809394760614,72.26470032142181,170.90973829446324,530.1593495934959,17
Indiana,1.1441463414634145,0.21585365853658536,0.6963414634146342,2.0568292682926828,271.20505871725385,42.836074872376635,144.5769786165015,438.79024390243904,18
Iowa,1.3512195121951218,0.15804878048780488,0.621219512195122,2.1312195121951216,320.28906955736227,31.364719228587635,128.97988249955492,454.660162601626,19
Kansas,1.126341463414634,0.14195121951219514,0.6139024390243902,1.8829268292682928,266.98464317976516,28.170164492342597,127.46068482582636,401.69105691056916,20
Kentucky,1.0531707317073171,0.1426829268292683,0.634390243902439,1.8309756097560974,249.64046973803076,28.31537152580828,131.71443831226634,390.6081300813008,21
Louisiana,1.4339024390243902,0.26170731707317074,0.8348780487804878,2.5297560975609756,339.88798554652215,51.935715636226135,173.34045457242894,539.6813008130082,22
